name,name_lc,wikidata,start_date,term,gender
MALPEZZI Simona Flavia,malpezzi simona flavia,Q16606338,2013-03-15,17,female
MANCIULLI Andrea,manciulli andrea,Q16526326,2013-03-15,17,male
MANFREDI Massimiliano,manfredi massimiliano,Q16576916,2013-03-15,17,male
MANNINO Claudia,mannino claudia,Q15976352,2013-03-15,17,female
MANTERO Matteo,mantero matteo,Q15162839,2013-03-15,17,male
MANZI Irene,manzi irene,Q16566418,2013-03-15,17,female
MARANTELLI Daniele,marantelli daniele,Q3702009,2013-03-15,17,male
MARAZZITI Mario,marazziti mario,Q16576424,2013-12-10,17,male
MARCHETTI Marco,marchetti marco,Q15141213,2013-03-15,17,male
MARCHI Maino,marchi maino,Q3843542,2013-03-15,17,male
